previous_campaign_outcome,contact_method,contact_month,is_new_campaign_client,education_level,subscribed
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,university.degree,yes
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,yes
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,high.school,yes
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,basic.9y,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,basic.6y,no
nonexistent,telephone,may,yes,basic.4y,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,professional.course,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,undisclosed,no
nonexistent,telephone,may,yes,university.degree,no
nonexistent,telephone,may,yes,high.school,no
nonexistent,telephone,may,yes,basic.4y,no
